19223,KAAA,small_airport,Logan County Airport,40.15869903564453,-89.33499908447266,597,NA,US,US-IL,Lincoln,no,KAAA,,AAA,,,
19224,KAAF,small_airport,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,US,US-FL,Apalachicola,no,KAAF,AAF,AAF,,http://en.wikipedia.org/wiki/Apalachicola_Municipal_Airport,
19225,KAAO,small_airport,Colonel James Jabara Airport,37.74760056,-97.22109985,1421,NA,US,US-KS,Wichita,no,KAAO,,AAO,,http://en.wikipedia.org/wiki/Colonel_James_Jabara_Airport,
29963,KAAP,closed,Andrau Airpark,29.722499847399998,-95.58830261230001,79,NA,US,US-TX,Houston,no,KAAP,AAP,AAP,,http://en.wikipedia.org/wiki/Andrau_Airpark,
19226,KAAS,small_airport,Taylor County Airport,37.358299255371094,-85.30940246582031,921,NA,US,US-KY,Campbellsville,no,KAAS,,AAS,,http://en.wikipedia.org/wiki/Taylor_County_Airport_(Kentucky),
19227,KAAT,small_airport,Alturas Municipal Airport,41.48300171,-120.5650024,4378,NA,US,US-CA,Alturas,no,KAAT,,AAT,,http://en.wikipedia.org/wiki/Alturas_Municipal_Airport,
3356,KABE,medium_airport,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393,NA,US,US-PA,Allentown,yes,KABE,ABE,ABE,,http://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport,
3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791,NA,US,US-TX,Abilene,yes,KABI,ABI,ABI,,http://en.wikipedia.org/wiki/Abilene_Regional_Airport,
16091,KABQ,large_airport,Albuquerque International Sunport Airport,35.040199279785156,-106.60900115966797,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ,ABQ,,http://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
3358,KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,1302,NA,US,US-SD,Aberdeen,yes,KABR,ABR,ABR,,http://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197,NA,US,US-GA,Albany,yes,KABY,ABY,ABY,,http://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,
